10.1016/J.CRTE.2010.04.008,low-Mach-number-applications,improved-entropy-consistent-Euler-flux,canGenerallyQualifier,increases,low-speed-accuracy
10.1111/j.1365-2249.2008.03626.x,geoscience-approaches-to-create-realistic-stochastic-fault-networks,new-method-to-create-realistic-stochastic-fault-networks-based-on-binary-trees,canGenerallyQualifier,contributesTo,creation-of-variety-of-model-topologies
10.1016/J.IJGGC.2011.11.018,Q911427,IL-12-TLR-cell,generallyQualifier,contributesTo,MP_0008086
10.4236/CE.2015.621236,steel-plants-in-thailand,Q3588927,frequentlyQualifier,isCausedBy,Q383973
10.20546/IJCMAS.2017.602.116,japanese-higher-level-education-curricula,excellence-of-curriculum,generallyQualifier,requires,CLIGAL-L1-japanese-L2-english
10.1109/cvpr.2016.90,caprine-animals-at-farm-in-wayanad-district-kerala-south-india,gastrointestinal-nematode,mostlyQualifier,isSameAs,strongylosis
10.1134/S1070328414110013,very-deep-neural-networks,performance-of-training-with-explicit-reformulation-of-layers-with-learning-residual-functions-with-reference-to-input-layers,generallyQualifier,isLargerThan,performance-of-training-with-learning-unreferenced-functions
10.1145/2064713.2064722,UniversalContext,hydrothermal-method-for-novel-1D-chain-like-coordination-polymer,canGenerallyQualifier,enables,synthesis-of-Pb-CDCA-2-DMF-DMF-2H2O-n
10.12989/CSM.2012.1.2.205,web-representations-of-people,activity-assigning-NDC-labels,canQualifier,contributesTo,people-directory-service
10.1186/gb-2003-4-2-r15,magneto-electro-elastic-cantilever-beam-in-thermal-environment,Q858318,generallyQualifier,increases,electric-potential-observed-at-volume-fraction-of-BaTiO3-0.2
,Q2696072,molecular-mechanism-symbiosis,sometimesQualifier,isSameAs,molecular-mechanism-pathogenesis
